D. ebraccatus	aDenEbr1
R. temporaria	aRanTem1
B. bufo	aBufBuf1
R. bivittatum	aRhiBiv1
G. seraphini	aGeoSer1
M. unicolor	aMicUni1
S. habroptilus	bStrHab1
F. rusticolus	bFalRus1
C. anna	bCalAnn1
T. guttata	bTaeGut1
H. rustica	bHirRus1
S. hirundo	bSteHir1
G. gallus	bGalGal1
M. nubicus	bMerNub1
P. pusillus	bPogPus1
C. ustulatus	bCatUst1
C. moneduloides	bCorMon1
B. regulorum	bBalReg1
D. pubescens	bDryPub1
M. undulatus	bMelUnd1
A. chloris	bAcaChl1
C. canorus	bCucCan1
F. naumanni	bFalNau1
C. cristata	bCarCri1
P. gutturalis	bPteGut1
C. olor	bCygOlo1
A. torda	bAlcTor1
G. trichas	bGeoTri1
H. comata	bHemCom1
N. grandis	bNycGra1
T. guttata	bTaeGut2
P. apricaria	bPluApr1
C. maguari	bCicMag1
A. fuligula	bAytFul2
B. abyssinicus	bBucAby1
C. lanceolata	bChiLan1
P. ruber	bPhoRub1
S. atricapilla	bSylAtr1
S. borin	bSylBor1
T. erythrolophus	bTauEry1
A. chrysaetos	bAquChr1
E. rubecula	bEriRub2
S. turtur	bStrTur1
A. rubens	eAstRub1
S. umbrosus	fSebUmb1
A. anableps	fAnaAna1
X. cancila	fXenCan1
P. nattereri	fPygNat1
A. centrarchus	fArcCen1
M. cyprinoides	fMegCyp1
S. argus	fScaArg1
E. lucius	fEsoLuc1
A. maculatus	fAntMac1
M. boesemani	fMelBoe1
D. rerio	fDreSAT1
E. electricus	fEleEle1
C. rostratus	fCheRos1
A. anguilla	fAngAng1
A. taeniatus	fAplTae1
P. magnuspinnatus	fPerMag1
C. lumpus	fCycLum1
N. celidotus	fNotCel1
H. hippoglossus	fHipHip1
A. testudineus	fAnaTes1
S. trutta	fSalTru1
E. naucrates	fEcheNa1
Z. faber	fZeuFab1
A. ruthenus	fAciRut3
T. rubripes	fTakRub1
M. armatus	fMasArm1
T. trachurus	fTraTra1
G. willdenowi	fGouWil2
D. clupeoides	fDenClu1
A. calliptera	fAstCal1
S. aurata	fSpaAur1
P. ranga	fParRan2
E. calabaricus	fErpCal1
S. acus	fSynAcu1
C. chanos	fChaCha1
C. gobio	fCotGob3
G. morhua	fGadMor1
M. niger	fMalNig1
M. murdjan	fMyrMur1
S. fasciatus	fSalaFa1
S. formosus	fSclFor1
S. orbicularis	fSphaOr1
T. amazonica	fThaAma1
P. marinus	kPetMar1
O. anatinus	mOrnAna1
B. taurus	mBosTau1
P. troglodytes	mPanTro1
T. aculeatus	mTacAcu1
B. musculus	mBalMus1
M. myotis	mMyoMyo1
C. didactylus	mChoDid1
P. kuhlii	mPipKuh1
T. tetradactyla	mTamTet1
R. ferrumequinum	mRhiFer1
Z. californianus	mZalCal1
M. erminea	mMusErm1
T. vulpecula	mTriVul1
A. niloticus	mArvNil1
H. sapiens	mHomSap3
T. truncatus	mTurTru1
L. catta	mLemCat1
L. canadensis	mLynCan4
P. sinus	mPhoSin1
C. jacchus	mCalJac1
P. discolor	mPhyDis1
P. pipistrellus	mPipPip1
S. vulgaris	mSciVul1
R. norvegicus	mRatNor1
S. carolinensis	mSciCar1
L. lutra	mLutLut1
A. amphibius	mArvAmp1
C. mydas	rCheMyd1
L. agilis	rLacAgi1
D. coriacea	rDerCor1
G. evgoodei	rGopEvg1
G. flavomarginatus	rGopFla2
T. elegans	rThaEle1
C. carcharias	sCarCar2
P. pectinata	sPriPec2
A. radiata	sAmbRad1
S. canicula	sScyCan1
