VGP dataset	Latin name	Common name	Assembly	Contig	VGP length	NOVOPlasty length	N_ short mitoreads NOVOPlasty	Identity (%)	Identity no-IUPAC (%)	Rounding	VGP_repeat	NOVOplasty_repeat	NOVOPlasty_missing	NOVOPlasty_duplicated	NOVOPlasty_missing count	NOVOPlasty_duplicated count	VGP_missing	VGP_duplicated	VGP_missing count	VGP_duplicated count
aDenEbr1	Dendropsophus ebraccatus	Hourglass Treefrog	Multiple contigs	Contig01+526406391	19264	16250	80528	99.948	100.021	100										
bAcaChl1	Acanthisitta chloris	Rifleman	Circular	Contig1	19029	16941	15864	99.8237	99.8611	99.8611	479	340	NA	NA	0	0	NA	cob trnT trnP nad6 trnE	5	5
bAlcTor1	Alca torda	Razorbill	Multiple contigs	Contig01+113237721	19110	16679	1072744	99.5003	99.5374	99.5374										
bAquChr1	Aquila chrysaetos	European golden eagle	Multiple contigs	Contig01+388165732	18265	13943	95132	99.8565	99.9764	99.9764										
bCygOlo1	Cygnus olor	Mute Swan	Circular	Contig1	16733	16732	809740	99.9734	99.9794	99.9794	235	233	NA	NA	0	0	NA	NA	0	0
bGalGal1	Gallus gallus	Chicken	Multiple contigs	Contig09+13094	16784	4319	3320	99.37	102.959	100										
bGeoTri1	Geothlypis trichas	Common Yellowthroat	Circular	Contig1	16814	16813	1079786	99.99	99.99	99.99	186	185	NA	NA	0	0	NA	NA	0	0
bHemCom1	Hemiprocne comata	Whiskered Treeswift	Multiple contigs	Contig04+1626	19122	22001	1958580	99.8081	99.9992	99.9992										
bMelUnd1	Melopsittacus undulatus	Budgerigar	Multiple contigs	Contig01+1806165252	18200	11152	1763682	99.9753	100.456	100										
bPluApr1	Pluvialis apricaria	Eurasian Golden Plover	Multiple contigs	Contig01+33857381	20624	15840	4354306	99.9908	100.05	100										
bPogPus1	Pogoniulus pusillus	Red-fronted tinkerbird	Multiple contigs	Contig04+0647991261	19935	11331	6988	99.93	100.168	100										
bTaeGut1	Taeniopygia guttata	Zebra Finch (male)	Multiple contigs	Contig01+7503152	16855	19362	1935204	99.9826	100.107	100										
bTaeGut2	Taeniopygia guttata	Zebra Finch (female)	Circular	Contig1	16856	16854	4155698	99.9893	99.9893	99.9893	301	299	NA	NA	0	0	NA	NA	0	0
eAstRub1	Asterias rubens	Common starfish	Circular	Contig1	16418	16418	140746	100	100	100	1504	1504	NA	NA	0	0	NA	NA	0	0
fAnaAna1	Anableps anableps	Largescale Four-Eyed Fish	Circular	Contig1	16511	16511	14980	99.995	100.001	100	146	146	NA	NA	0	0	NA	NA	0	0
fAnaTes1	Anabas testudineus	Climbing perch	Multiple contigs	Contig01+1705852	17111	17111	52866	99.8484	99.8825	99.8825										
fAntMac1	Antennarius maculatus	Warty Frogfish	Multiple contigs	Contig05+12808	19188	14861	231326	99.6522	100.309	100										
fArcCen1	Archocentrus centrarchus	Flier cichlid	Multiple contigs	Contig02+18164	16663	9713	13778	99.99	100.011	100										
fAstCal1	Astatotilapia calliptera	Eastern happy	Circular	Contig1	16582	16582	539710	100	100	100	210	210	NA	NA	0	0	NA	NA	0	0
fCheRos1	Chelmon rostratus	Copperband butterflyfish	Circular	Contig1	16523	16523	809110	100	100	100	552	552	NA	NA	0	0	NA	NA	0	0
fCycLum1	Cyclopterus lumpus	Lumpfish	Single contig	Contig01+734935451	17282	17293	64972	99.9783	99.9956	99.9956										
fDenClu1	Denticeps clupeoides	Denticle herring	Circular	Contig1	16916	16881	535012	100	100	100	875	833	NA	NA	0	0	NA	NA	0	0
fEcheNa1	Echeneis naucrates	Live sharksucker	Circular	Contig1	16610	16610	160318	100	100	100	366	366	NA	NA	0	0	NA	NA	0	0
fEleEle1	Electrophorus electricus	Electric eel	Multiple contigs	Contig01+139047401	17309	16395	368514	99.9302	99.9363	99.9363										
fEsoLuc1	Esox lucius	Northern pike	Single contig	Contig01+67567772	17081	22003	121522	99.99	99.9959	99.9959										
fGouWil2	Gouania willdenowi	Blunt-snouted clingfish	Multiple contigs	Contig01+434542411	19076	9335	645888	99.9816	100.114	100										
