VGP dataset	VGP_missing	VGP_duplicated	VGP_missing count	VGP_duplicated count	Tisssue
aBufBuf1	NA	NA	0	0	heart
aDenEbr1	NA	NA	0	0	brain
bAlcTor1	NA	cob trnT trnP nad6 trnE	0	5	muscle
bCalAnn1	NA	cob trnT trnP nad6 trnE	0	5	muscle
bCarCri1	NA	cob trnT trnP nad6 trnE	0	5	blood
bCatUst1	NA	trnP nad6 trnE	0	3	blood
bCicMag1	NA	cob trnT trnP nad6 trnE	0	5	muscle
bCorMon1	NA	NA	0	0	blood
bCucCan1	NA	NA	0	0	blood
bDryPub1	NA	NA	0	0	blood
bFalNau1	NA	NA	0	0	blood
bGeoTri1	NA	NA	0	0	muscle
bHemCom1	NA	cob trnT trnP nad6 trnE	0	5	muscle
bPluApr1	NA	cob trnT trnP nad6 trnE	0	5	muscle
bPogPus1	NA	NA	0	0	blood
eAstRub1	NA	NA	0	0	sperm
fAnaAna1	NA	NA	0	0	liver
fAntMac1	NA	rrnL trnV	0	2	muscle
fArcCen1	NA	NA	0	0	liver
fCycLum1	NA	trnL1	0	1	muscle
fGouWil2	NA	trnP	0	1	whole body
fHipHip1	NA	NA	0	0	muscle
fNotCel1	NA	NA	0	0	muscle
fParRan2	NA	NA	0	0	whole body
fSebUmb1	NA	NA	0	0	muscle
fSynAcu1	NA	NA	0	0	muscle
fXenCan1	NA	NA	0	0	liver
kPetMar1	NA	NA	0	0	sperm
mArvNil1	NA	NA	0	0	spleen
mPhoSin1	NA	trnL2	0	1	cells
mPhyDis1	NA	NA	0	0	muscle
mPipKuh1	NA	NA	0	0	muscle
mSciCar1	NA	NA	0	0	spleen
rGopFla2	NA	NA	0	0	blood
