	aBufBuf1_r1_k7	aBufBuf1_r2_k7	aDenEbr1_r1_k7	aDenEbr1_r2_k7	aRanTem1_r1_k7	aRanTem1_r2_k7	aRanTem1_r3_k7	aRanTem1_r4_k7	bAquChr1_r_k7	bBalReg1_r_k7	bCarCri1_r1_k7	bCarCri1_r2_k7	bCarCri1_r3_k7	bCicMag1_r1_k7	bCicMag1_r2_k7	bCicMag1_r3_k7	bCucCan1_r_k7	bFalNau1_r1_k7	bFalNau1_r2_k7	bFalRus1_r_k7	bMerNub1_r1_k7	bMerNub1_r2_k7	bMerNub1_r3_k7	bNycGra1_r1_k7	bNycGra1_r2_k7	bNycGra1_r3_k7	bPluApr1_r_k7	bPogPus1_r1_k7	bPogPus1_r2_k7	bStrHab1_r_k7	fAciRut3_r_k7	fAnaTes1_r_k7	fAntMac1_r1_k7	fAntMac1_r2_k7	fArcCen1_r_k7	fCycLum1_r_k7	fDenClu1_r_k7	fEleEle1_r1_k7	fEleEle1_r2_k7	fEsoLuc1_r_k7	fHipHip1_r_k7	fMegCyp1_r_k7	fParRan2_r_k7	fSebUmb1_r_k7	kPetMar1_r_k7	mLemCat1_r_k7	mLutLut1_r_k7	mLynCan4_r1_k7	mLynCan4_r2_k7	mMusErm1_r_k7	mMyoMyo1_r1_k7	mMyoMyo1_r2_k7	mOrnAna1_r_k7	mPhyDis1_r_k7	mPipKuh1_r1_k7	mPipKuh1_r2_k7	mPipPip1_r1_k7	mPipPip1_r2_k7	mRhiFer1_r1_k7	mTamTet1_r_k7	mTriVul1_r1_k7	mTriVul1_r2_k7	mZalCal1_r_k7	rDerCor1_r_k7	rGopEvg1_r_k7	rGopFla2_r_k7	rLacAgi1_r1_k7	rLacAgi1_r2_k7
aBufBuf1_r1_k7	1	.03469750889679715302	.05243243243243243243	.20000000000000000000	.13835511145272867025	.17015098722415795586	.14751773049645390070	.10587262200165425971	.11665762344004340748	.11494252873563218390	.17398463227222832052	.15612758813654168998	.02857142857142857142	.03768318213538032100	.03519510328997704667	0	.02158693115519253208	.11581291759465478841	.02886405959031657355	.11528429838288993218	.04591836734693877551	.04596527068437180796	0	.01705237515225334957	.01431391905231984205	.01385927505330490405	0	.04104669061056952283	.04000000000000000000	.15449915110356536502	.08716026241799437675	.03822314049586776859	.08638497652582159624	.20433436532507739938	.07188160676532769556	.09697933227344992050	.18337850045167118337	.12669322709163346613	.03744292237442922374	.09462528387585162755	.00875000000000000000	.19784656796769851951	.13816343723673125526	.12838874680306905370	.03834510595358224016	0	.02675916749256689791	.09515096065873741994	.04347826086956521739	.02040816326530612244	.21103653989560029828	0	.04800000000000000000	0	.22175141242937853107	0	.19590163934426229508	.03618090452261306532	.02100000000000000000	.05660377358490566037	.05686274509803921568	.13422818791946308724	.03392857142857142857	.09794319294809010773	.11030595813204508856	.03146067415730337078	.00524109014675052410	.00524109014675052410
aBufBuf1_r2_k7	.03469750889679715302	1	.00931232091690544412	0	.01652892561983471074	.01971608832807570977	.02824267782426778242	.06670061099796334012	.03023758099352051835	.00590841949778434268	0	0	0	.03064351378958120531	.03048065650644783118	0	.00403496973772696704	0	.06451612903225806451	.02460697197539302802	.08745247148288973384	.08761904761904761904	0	.02439024390243902439	.02480916030534351145	0	0	.01070234113712374581	.00956022944550669216	.02741812642802741812	0	.03696498054474708171	0	.01431980906921241050	.01422764227642276422	.09328358208955223880	.05053598774885145482	.03121098626716604244	.06084243369734789391	0	.04275741710296684118	0	0	.06395736175882744836	0	0	0	.00625978090766823161	0	0	.01014656144306651634	0	.06043956043956043956	0	0	0	.02088772845953002610	0	0	.02169981916817359855	0	.00542005420054200542	0	0	.00253807106598984771	0	0	0
aDenEbr1_r1_k7	.05243243243243243243	.00931232091690544412	1	.02296211251435132032	.02797202797202797202	.06018054162487462387	.02972651605231866825	.06505576208178438661	.07895981087470449172	.02922309337134711332	.17765042979942693409	.15055852355512384652	0	.02404692082111436950	.02343255224825839138	0	.00972972972972972972	.03953057442865966646	.02303120356612184249	.03791685701233439926	.02715654952076677316	.01998401278976818545	0	.01133455210237659963	.01131418624891209747	0	0	.01936064835659612787	.02257336343115124153	.06130456105934281510	.02091112770724421209	.00806451612903225806	.00749375520399666944	.05434782608695652173	.01313628899835796387	.13921568627450980392	.02175489485134155184	.04911591355599214145	.05852231163130943672	0	.03846153846153846153	.03697383390216154721	.06442769019876627827	.09519533004041311180	.05621536025336500395	0	0	0	0	0	.05765654060756354618	0	.05031446540880503144	0	.07997630331753554502	0	.08378016085790884718	0	0	.03831118060985144644	0	.06284153005464480874	0	.04795050270688321732	.05284015852047556142	.02753872633390705679	.02365415986949429037	.02365415986949429037
aDenEbr1_r2_k7	.20000000000000000000	0	.02296211251435132032	1	.19027661357921207041	.17719950433705080545	.16436251920122887864	.16147186147186147186	.05475504322766570605	0	.00350058343057176196	0	0	.02792452830188679245	.02668890742285237698	0	.10602409638554216867	0	.00414078674948240165	.01824212271973466003	.05160550458715596330	.05166475315729047072	0	0	0	0	0	0	0	0	.02085505735140771637	.00697674418604651162	.17903066271018793273	.11570945945945945945	.02983293556085918854	.02782608695652173913	.37737737737737737737	.31473408892763731473	.06585612968591691995	.19291014014839241549	.04222520107238605898	.36357039187227866473	.14087117701575532900	.09474824038982133188	0	0	0	.27715736040609137055	0	.04357798165137614678	.21086780210867802108	0	.02466367713004484304	0	.15214067278287461773	0	.21133093525179856115	0	0	0	.03837719298245614035	.14852398523985239852	0	.17524644030668127053	.23368606701940035273	.11764705882352941176	.01654846335697399527	.01654846335697399527
aRanTem1_r1_k7	.13835511145272867025	.01652892561983471074	.02797202797202797202	.19027661357921207041	1	.98062283737024221453	.94263018534863195057	.02568893040635217188	.08429118773946360153	.04098360655737704918	.00582524271844660194	.00662251655629139072	0	.08477508650519031141	.08737864077669902912	0	.01840685496667724531	0	0	.05487804878048780487	.04694167852062588904	.04700854700854700854	0	0	0	.01815431164901664145	0	.02392344497607655502	.02289452166802943581	.10671140939597315436	.11518987341772151898	.00723589001447178002	.04695089044792228818	.05221674876847290640	.09715994020926756352	0	.04578313253012048192	.09713701431492842535	.11124694376528117359	.06130268199233716475	.05820105820105820105	.05541770057899090157	0	.07449344457687723480	0	0	0	.04656862745098039215	0	0	.09210526315789473684	0	.03596127247579529737	0	0	0	.01696712619300106044	0	0	.02054794520547945205	.20995962314939434724	.15519125683060109289	0	0	.09740932642487046632	.03752039151712887438	0	0
aRanTem1_r2_k7	.17015098722415795586	.01971608832807570977	.06018054162487462387	.17719950433705080545	.98062283737024221453	1	.96267696267696267696	.01756440281030444964	.06743834927025666834	0	.00356052899287894201	0	0	.07355738744451490171	.07649896623018607856	0	.02799552071668533034	.00134138162307176391	0	.03833090732654051431	.05071174377224199288	.05075690115761353517	0	0	0	0	0	.02771141901576684185	.02798053527980535279	.11930926216640502354	.11230388109000825763	.00449640287769784172	.05452946350043975373	.06058495821727019498	.10366972477064220183	0	.04556354916067146282	.13080771979985704074	.12187247780468119451	.05187713310580204778	.07282110091743119266	.02576687116564417177	0	.09147212958551691281	.02114537444933920704	0	0	.04446240905416329830	0	0	.09562289562289562289	0	.05157342657342657342	0	0	0	.02712609970674486803	0	0	.02172024326672458731	.18814432989690721649	.18488023952095808383	0	0	.11183261183261183261	.03384912959381044487	0	0
aRanTem1_r3_k7	.14751773049645390070	.02824267782426778242	.02972651605231866825	.16436251920122887864	.94263018534863195057	.96267696267696267696	1	.01600000000000000000	.07044776119402985074	0	0	0	0	.06561264822134387351	.06848112379280070237	0	.02116564417177914110	0	0	.03144654088050314465	.05049261083743842364	.05055487053020961775	0	0	0	0	0	.03368893879842784952	.03603603603603603603	.11131957473420888055	.11679644048943270300	.00625000000000000000	.04994903160040774719	.05427046263345195729	.10025706940874035989	0	.04259850905218317358	.12235510579576816927	.11974110032362459546	.05897658282740676496	.06215083798882681564	.02503793626707132018	0	.07666480134303301622	0	0	0	.04108108108108108108	0	0	.08695652173913043478	0	.04086538461538461538	0	0	0	.01520912547528517110	0	0	.02145411203814064362	.20539906103286384976	.16699218750000000000	0	0	.10428305400372439478	.03739612188365650969	0	0
aRanTem1_r4_k7	.10587262200165425971	.06670061099796334012	.06505576208178438661	.16147186147186147186	.02568893040635217188	.01756440281030444964	.01600000000000000000	1	.01826313827804696235	.02333840690005073566	.04845980465815176558	.04111153406928054815	0	0	0	0	.00538894095595126522	0	.05120167189132706374	.01632208922742110990	0	0	0	0	0	0	0	0	0	0	.03985317252228631358	.01548672566371681415	.16599326599326599326	.04878048780487804878	.02575587905935050391	.04909437559580552907	.06985105290190035952	.10405727923627684964	.06511627906976744186	.07774178621008792225	0	.13456577815993121238	.04834731129748396645	.05259391771019677996	0	0	.01460248783126014061	.16347646145887221934	.04269547325102880658	.01318681318681318681	.04997707473635946813	0	0	.01610216546363131593	.11303191489361702127	0	.09805825242718446601	0	0	0	0	.06988188976377952755	.02551020408163265306	.04836109618484685652	.09702209414024975984	.06589595375722543352	0	0
bAquChr1_r_k7	.11665762344004340748	.03023758099352051835	.07895981087470449172	.05475504322766570605	.08429118773946360153	.06743834927025666834	.07044776119402985074	.01826313827804696235	1	.04942693409742120343	.02874940105414470531	.01559454191033138401	0	.05123674911660777385	.05089058524173027989	.04767246214245653393	.02112103980503655564	.03722084367245657568	.03659447348767737117	.06966086159486709440	.05220883534136546184	.05225080385852090032	0	0	0	.02660016625103906899	.00950871632329635499	.04561878952122854561	.02946175637393767705	.10629921259842519685	0	0	0	.01477199743095696852	0	.03676953381483913328	.03571428571428571428	0	.04632352941176470588	0	.01876675603217158176	.06396344945745288406	.02754820936639118457	.05450450450450450450	0	0	0	.01399116347569955817	0	0	.01556662515566625155	0	0	0	.04283164782867340868	0	.03434343434343434343	0	0	0	0	.06039807824296499656	0	.04976671850699844479	.04844061048440610484	.02943722943722943722	0	0
bBalReg1_r_k7	.11494252873563218390	.00590841949778434268	.02922309337134711332	0	.04098360655737704918	0	0	.02333840690005073566	.04942693409742120343	1	0	0	.00282485875706214689	.19979716024340770791	.21627906976744186046	.27077497665732959850	.04025494800402549480	.06888888888888888888	.03189792663476874003	.06122448979591836734	0	0	.23251748251748251748	0	0	.15885947046843177189	.15121412803532008830	.14846870838881491344	.18898385565052231718	0	0	0	0	.00473372781065088757	0	.00493218249075215782	0	0	0	0	.01300954032957502168	0	.02567567567567567567	.02519893899204244031	0	0	0	0	0	0	0	0	0	0	.02579979360165118679	0	0	0	0	.01071428571428571428	0	0	0	0	.00628930817610062893	0	0	0
